date;conf_new;conf_total;deaths_new;deaths_total;rec_new;rec_total;intube_total;severe_total;tests_new;tests_total;conf_deaths;active;;;
11.03.2020;1;1;0;0;0;0;0;0;0;0;0.00%;1;;;
12.03.2020;0;1;0;0;0;0;0;0;0;0;0.00%;1;;;
13.03.2020;4;5;0;0;0;0;0;0;0;0;0.00%;5;;;
14.03.2020;1;6;0;0;0;0;0;0;0;0;0.00%;6;;;
15.03.2020;12;18;1;1;0;0;0;0;0;0;5.56%;17;;;
16.03.2020;29;47;0;1;0;0;0;0;0;0;2.13%;46;;;
17.03.2020;41;98;1;2;0;0;0;0;0;8002;2.04%;96;;;
18.03.2020;93;191;2;3;0;0;0;0;2015;10017;1.57%;188;;;
19.03.2020;168;359;1;4;0;0;0;0;1981;11998;1.11%;355;;;
20.03.2020;311;670;5;9;0;0;0;0;3656;15624;1.34%;661;;;
21.03.2020;277;947;13;21;0;0;0;0;2952;18604;2.22%;926;;;
22.03.2020;289;1236;9;30;0;0;0;0;1738;20345;2.43%;1206;;;
23.03.2020;293;1529;7;37;0;0;0;0;3672;24017;2.42%;1492;;;
24.03.2020;343;1872;7;44;0;26;102;136;3952;27969;2.35%;1802;;;
25.03.2020;561;2433;15;59;0;0;0;0;5035;33004;2.42%;2374;;;
26.03.2020;1196;3629;16;75;0;0;0;0;7286;40290;2.07%;3554;;;
27.03.2020;2069;5698;17;92;16;42;241;344;7533;47823;1.61%;5564;;;
28.03.2020;1704;7402;16;108;28;70;309;445;7641;55464;1.46%;7224;;;
29.03.2020;1815;9217;23;131;35;105;394;568;9982;65446;1.42%;8981;;;7,00%
30.03.2020;1610;10827;37;168;57;162;523;725;11535;76981;1.55%;10497;;;6,91%
31.03.2020;2704;13531;46;214;81;243;622;847;15422;92403;1.58%;13074;;;5,90%
1.04.2020;2148;15679;63;277;90;333;692;979;14397;106799;1.77%;15069;;;4,86%
2.04.2020;2456;18315;79;356;82;415;783;1101;18757;125556;1.94%;17544;;;4,81%
3.04.2020;2786;20921;69;425;69;484;867;1251;16160;141716;2.03%;20012;74,19%;63,43%;4,61%
4.04.2020;3013;23934;76;501;302;786;909;1311;19664;161380;2.09%;22647;45,24%;52,90%;4,63%
5.04.2020;3135;27069;73;574;256;1042;935;1381;20065;181445;2.12%;25453;23,47%;46,44%;4,24%
6.04.2020;3148;30217;75;649;284;1326;966;1415;21400;202845;2.15%;28242;27,08%;42,45%;4,14%
7.04.2020;3892;34109;76;725;256;1582;987;1474;20023;222868;2.13%;31802;26,30%;38,73%;3,96%
8.04.2020;4117;38226;87;812;264;1846;995;1492;24900;247768;2.12%;35568;29,69%;33,37%;3,88%
9.04.2020;4056;42282;96;908;296;2142;1017;1552;28578;276338;2.15%;39232;27,99%;25,02%;3,79%
10.04.2020;4747;47029;98;1006;281;2423;1062;1667;30864;307210;2.14%;43600;17,47%;17,66%;3,72%
11.04.2020;5138;52167;95;1101;542;2965;1021;1626;33170;340380;2.11%;48101;7,94%;14,87%;3,64%
12.04.2020;4789;56956;97;1198;481;3446;978;1665;35720;376100;2.10%;52312;4,69%;13,00%;3,51%
13.04.2020;4093;61049;98;1296;511;3957;1063;1786;34456;410556;2.12%;55796;5,75%;11,97%;3,39%
14.04.2020;4062;65111;107;1403;842;4799;1087;1809;33070;443626;2.15%;58909;5,90%;10,37%;3,32%
15.04.2020;4281;69392;115;1518;875;5674;1052;1820;34090;477716;2.19%;62200;7,14%;9,68%;3,23%